district_id,week_tir,treatment_control_group,mean_total_token,mean_total_phone,mean_reorder_payment_count,mean_token_phone,lag_mean_total_token,lag_mean_total_phone,lag_mean_reorder_payment_count,lag_mean_token_phone,lag2_mean_total_token,lag2_mean_total_phone,lag2_mean_reorder_payment_count,lag2_mean_token_phone,lag3_mean_total_token,lag3_mean_total_phone,lag3_mean_reorder_payment_count,lag3_mean_token_phone,lag4_mean_total_token,lag4_mean_total_phone,lag4_mean_reorder_payment_count,lag4_mean_token_phone,total_token_change_percent,total_phone_change_percent,token_phone_change_percent,reorder_payment_count_change_percent,total_token_change20_percent,total_phone_change20_percent,token_phone_change20_percent,reorder_payment_count_change20_percent,total_token_change30_percent,total_phone_change30_percent,token_phone_change30_percent,reorder_payment_count_change30_percent,total_token_change40_percent,total_phone_change40_percent,token_phone_change40_percent,reorder_payment_count_change40_percent,total_token_change_count,total_phone_change_count,token_phone_change_count,reorder_payment_count_change_count,total_token_change20_count,total_phone_change20_count,token_phone_change20_count,reorder_payment_count_change20_count,total_token_change30_count,total_phone_change30_count,token_phone_change30_count,reorder_payment_count_change30_count,total_token_change40_count,total_phone_change40_count,token_phone_change40_count,reorder_payment_count_change40_count,place4,place2,district,name,region
65,5,10,29.71428571,25.14285714,2,1.217170757,38.28571429,33.42857143,1.857142857,1.229819729,30,27,4.857142857,1.11992288,27.85714286,24.28571429,4.857142857,1.148484253,24,20.85714286,4.857142857,1.191061655,-22.3880597,-24.78632479,-1.028522478,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,-8.571428571,-8.285714286,-0.012648972,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,65,1,qeytariyeh,قیطریه,1
191,1,30,1.5,1,0,1.5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,191,1,ebrahim-abad,ابراهیم‌آباد,18
191,3,30,1,1,0,1,1.5,1,0,1.5,,,,,,,,,,,,,-33.33333333,0,-33.33333333,,0,0,0,0,,,,,0,0,0,0,-0.5,0,-0.5,0,0,0,0,0,,,,,0,0,0,0,191,1,ebrahim-abad,ابراهیم‌آباد,18
418,0,,2.666666667,2.666666667,1,1,3.5,3,0,1.125,,,,,,,,,,,,,-23.80952381,-11.11111111,-11.11111111,,0,0,0,0,0,0,0,0,0,0,0,0,-0.833333333,-0.333333333,-0.125,1,0,0,0,0,0,0,0,0,0,0,0,0,418,1,roodehen,رودهن,
418,1,,2.857142857,2.714285714,3.857142857,1.035714286,2.666666667,2.666666667,1,1,3.5,3,0,1.125,,,0,,,,0,,7.142857143,1.785714286,3.571428571,285.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0.047619048,0.035714286,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,418,1,roodehen,رودهن,
418,2,,3.166666667,2.833333333,1.666666667,1.083333333,2.857142857,2.714285714,3.857142857,1.035714286,2.666666667,2.666666667,1,1,3.5,3,1,1.125,,,1,,10.83333333,4.385964912,4.597701149,-56.79012346,18.75,6.25,8.333333333,66.66666667,0,0,0,0,0,0,0,0,0.30952381,0.119047619,0.047619048,-2.19047619,0.5,0.166666667,0.083333333,0.666666667,0,0,0,0,0,0,0,0,418,1,roodehen,رودهن,
418,3,,3.5,3.333333333,0.166666667,1.041666667,3.166666667,2.833333333,1.666666667,1.083333333,2.857142857,2.714285714,3.857142857,1.035714286,2.666666667,2.666666667,3.857142857,1,3.5,3,3.857142857,1.125,10.52631579,17.64705882,-3.846153846,-90,0,0,0,0,31.25,25,4.166666667,-95.67901235,0,0,0,0,0.333333333,0.5,-0.041666667,-1.5,0,0,0,0,0.833333333,0.666666667,0.041666667,-3.69047619,0,0,0,0,418,1,roodehen,رودهن,
418,4,,7,4,4,1.857142857,3.5,3.333333333,0.166666667,1.041666667,3.166666667,2.833333333,1.666666667,1.083333333,2.857142857,2.714285714,1.666666667,1.035714286,2.666666667,2.666666667,1.666666667,1,100,20,78.28571429,2300,0,0,0,0,0,0,0,0,162.5,50,85.71428571,140,3.5,0.666666667,0.81547619,3.833333333,0,0,0,0,0,0,0,0,4.333333333,1.333333333,0.857142857,2.333333333,418,1,roodehen,رودهن,
418,5,,3.571428571,3,0.142857143,1.171428571,7,4,4,1.857142857,3.5,3.333333333,0.166666667,1.041666667,3.166666667,2.833333333,0.166666667,1.083333333,2.857142857,2.714285714,0.166666667,1.035714286,-48.97959184,-25,-36.92307692,-96.42857143,0,0,0,0,0,0,0,0,0,0,0,0,-3.428571429,-1,-0.685714286,-3.857142857,0,0,0,0,0,0,0,0,0,0,0,0,418,1,roodehen,رودهن,
1010,1,30,1,1,0.5,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1010,1,moqadam,مقدم,17
1010,2,30,1,1,0,1,1,1,0.5,1,,,,,,,,,,,,,0,0,0,-100,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,,,0,0,0,0,0,0,0,0,1010,1,moqadam,مقدم,17
1010,5,30,1,1,0,1,1,1,0,1,1,1,0.5,1,,,0.5,,,,0.5,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,1,moqadam,مقدم,17
270,2,30,1.25,1.25,1,1,1.5,1.5,0,1,,,,,,,,,,,,,-16.66666667,-16.66666667,0,,,,,,0,0,0,0,0,0,0,0,-0.25,-0.25,0,1,,,,,0,0,0,0,0,0,0,0,270,1,hashem-abad,هاشم‌آباد,15
270,3,30,2.25,2.25,0,1,1.25,1.25,1,1,1.5,1.5,0,1,,,0,,,,0,,80,80,0,-100,0,0,0,0,,,,,0,0,0,0,1,1,0,-1,0,0,0,0,,,,0,0,0,0,0,270,1,hashem-abad,هاشم‌آباد,15
270,4,30,2.166666667,2.166666667,0,1,2.25,2.25,0,1,1.25,1.25,1,1,1.5,1.5,1,1,,,1,,-3.703703704,-3.703703704,0,,0,0,0,0,0,0,0,0,,,,-100,-0.083333333,-0.083333333,0,0,0,0,0,0,0,0,0,0,,,,-1,270,1,hashem-abad,هاشم‌آباد,15
270,5,30,2.666666667,2.666666667,0.333333333,1,2.166666667,2.166666667,0,1,2.25,2.25,0,1,1.25,1.25,0,1,1.5,1.5,0,1,23.07692308,23.07692308,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,270,1,hashem-abad,هاشم‌آباد,15
938,0,10,1.666666667,1.333333333,1,1.166666667,2,2,0,1,,,,,,,,,,,,,-16.66666667,-33.33333333,16.66666667,,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333,-0.666666667,0.166666667,1,0,0,0,0,0,0,0,0,0,0,0,0,938,1,bahar,بهار,7
938,1,10,2,1.75,0,1.125,1.666666667,1.333333333,1,1.166666667,2,2,0,1,,,0,,,,0,,20,31.25,-3.571428571,-100,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.416666667,-0.041666667,-1,0,0,0,0,0,0,0,0,0,0,0,0,938,1,bahar,بهار,7
938,2,10,2.2,1.8,0.6,1.4,2,1.75,0,1.125,1.666666667,1.333333333,1,1.166666667,2,2,1,1,,,1,,10,2.857142857,24.44444444,,32,35,20,-40,0,0,0,0,0,0,0,0,0.2,0.05,0.275,0.6,0.533333333,0.466666667,0.233333333,-0.4,0,0,0,0,0,0,0,0,938,1,bahar,بهار,7
938,3,10,2.6,2.2,0,1.166666667,2.2,1.8,0.6,1.4,2,1.75,0,1.125,1.666666667,1.333333333,0,1.166666667,2,2,0,1,18.18181818,22.22222222,-16.66666667,-100,0,0,0,0,56,65,-2.22E-14,,0,0,0,0,0.4,0.4,-0.233333333,-0.6,0,0,0,0,0.933333333,0.866666667,-2.22E-16,0,0,0,0,0,938,1,bahar,بهار,7
938,4,10,2.166666667,1.833333333,0.166666667,1.25,2.6,2.2,0,1.166666667,2.2,1.8,0.6,1.4,2,1.75,0.6,1.125,1.666666667,1.333333333,0.6,1.166666667,-16.66666667,-16.66666667,7.142857143,,0,0,0,0,0,0,0,0,30,37.5,7.142857143,-72.22222222,-0.433333333,-0.366666667,0.083333333,0.166666667,0,0,0,0,0,0,0,0,0.5,0.5,0.083333333,-0.433333333,938,1,bahar,بهار,7
938,5,10,2.25,2,1,1.083333333,2.166666667,1.833333333,0.166666667,1.25,2.6,2.2,0,1.166666667,2.2,1.8,0,1.4,2,1.75,0,1.125,3.846153846,9.090909091,-13.33333333,500,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.166666667,-0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,938,1,bahar,بهار,7
243,0,30,1,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,243,1,moshiriyeh,مشیریه,15
243,1,30,3,2.5,0.5,1.25,1,1,0,1,,,,,,,,,,,,,200,150,25,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,243,1,moshiriyeh,مشیریه,15
243,2,30,1.5,1.333333333,0.833333333,1.166666667,3,2.5,0.5,1.25,1,1,0,1,,,0,,,,0,,-50,-46.66666667,-6.666666667,66.66666667,50,33.33333333,16.66666667,,0,0,0,0,0,0,0,0,-1.5,-1.166666667,-0.083333333,0.333333333,0.5,0.333333333,0.166666667,0.833333333,0,0,0,0,0,0,0,0,243,1,moshiriyeh,مشیریه,15
243,3,30,1.2,1.2,1.2,1,1.5,1.333333333,0.833333333,1.166666667,3,2.5,0.5,1.25,1,1,0.5,1,,,0.5,,-20,-10,-14.28571429,44,0,0,0,0,20,20,0,140,0,0,0,0,-0.3,-0.133333333,-0.166666667,0.366666667,0,0,0,0,0.2,0.2,0,0.7,0,0,0,0,243,1,moshiriyeh,مشیریه,15
243,4,30,1.5,1,0,1.5,1.2,1.2,1.2,1,1.5,1.333333333,0.833333333,1.166666667,3,2.5,0.833333333,1.25,1,1,0.833333333,1,25,-16.66666667,50,-100,0,0,0,0,0,0,0,0,50,0,50,-100,0.3,-0.2,0.5,-1.2,0,0,0,0,0,0,0,0,0.5,0,0.5,-0.833333333,243,1,moshiriyeh,مشیریه,15
243,5,30,1,1,0,1,1.5,1,0,1.5,1.2,1.2,1.2,1,1.5,1.333333333,1.2,1.166666667,3,2.5,1.2,1.25,-33.33333333,0,-33.33333333,,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,243,1,moshiriyeh,مشیریه,15
278,0,30,2.5,2.5,1,1,3,3,0.5,1,,,,,,,,,,,,,-16.66666667,-16.66666667,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,278,1,moniriyeh,منیریه,11
278,1,30,1.25,1.25,0.75,1,2.5,2.5,1,1,3,3,0.5,1,,,0.5,,,,0.5,,-50,-50,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,-1.25,-1.25,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,278,1,moniriyeh,منیریه,11
278,2,30,2,2,0.285714286,1,1.25,1.25,0.75,1,2.5,2.5,1,1,3,3,1,1,,,1,,60,60,0,-61.9047619,-20,-20,0,-71.42857143,0,0,0,0,0,0,0,0,0.75,0.75,0,-0.464285714,-0.5,-0.5,0,-0.714285714,0,0,0,0,0,0,0,0,278,1,moniriyeh,منیریه,11
278,3,30,3.666666667,3.333333333,0.666666667,1.083333333,2,2,0.285714286,1,1.25,1.25,0.75,1,2.5,2.5,0.75,1,3,3,0.75,1,83.33333333,66.66666667,8.333333333,133.3333333,0,0,0,0,46.66666667,33.33333333,8.333333333,-11.11111111,0,0,0,0,1.666666667,1.333333333,0.083333333,0.380952381,0,0,0,0,1.166666667,0.833333333,0.083333333,-0.083333333,0,0,0,0,278,1,moniriyeh,منیریه,11
278,4,30,3,3,0,1,3.666666667,3.333333333,0.666666667,1.083333333,2,2,0.285714286,1,1.25,1.25,0.285714286,1,2.5,2.5,0.285714286,1,-18.18181818,-10,-7.692307692,-100,0,0,0,0,0,0,0,0,20,20,0,-100,-0.666666667,-0.333333333,-0.083333333,-0.666666667,0,0,0,0,0,0,0,0,0.5,0.5,0,-0.285714286,278,1,moniriyeh,منیریه,11
278,5,30,1.666666667,1.666666667,0.666666667,1,3,3,0,1,3.666666667,3.333333333,0.666666667,1.083333333,2,2,0.666666667,1,1.25,1.25,0.666666667,1,-44.44444444,-44.44444444,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1.333333333,-1.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,278,1,moniriyeh,منیریه,11
54,0,10,2.333333333,2,0,1.333333333,2.5,2.5,0,1,,,,,,,,,,,,,-6.666666667,-20,33.33333333,,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666667,-0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,darband,دربند,1
54,1,10,2.666666667,2.333333333,1.333333333,1.083333333,2.333333333,2,0,1.333333333,2.5,2.5,0,1,,,0,,,,0,,14.28571429,16.66666667,-18.75,,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,-0.25,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,54,1,darband,دربند,1
54,2,10,3.8,3.4,1.6,1.106666667,2.666666667,2.333333333,1.333333333,1.083333333,2.333333333,2,0,1.333333333,2.5,2.5,0,1,,,0,,42.5,45.71428571,2.153846154,20,62.85714286,70,-17,,0,0,0,0,0,0,0,0,1.133333333,1.066666667,0.023333333,0.266666667,1.466666667,1.4,-0.226666667,1.6,0,0,0,0,0,0,0,0,54,1,darband,دربند,1
54,3,10,2.571428571,2.571428571,0.142857143,1,3.8,3.4,1.6,1.106666667,2.666666667,2.333333333,1.333333333,1.083333333,2.333333333,2,1.333333333,1.333333333,2.5,2.5,1.333333333,1,-32.33082707,-24.3697479,-9.638554217,-91.07142857,0,0,0,0,10.20408163,28.57142857,-25,-89.28571429,0,0,0,0,-1.228571429,-0.828571429,-0.106666667,-1.457142857,0,0,0,0,0.238095238,0.571428571,-0.333333333,-1.19047619,0,0,0,0,54,1,darband,دربند,1
54,4,10,6,5.666666667,0,1.057142857,2.571428571,2.571428571,0.142857143,1,3.8,3.4,1.6,1.106666667,2.666666667,2.333333333,1.6,1.083333333,2.333333333,2,1.6,1.333333333,133.3333333,120.3703704,5.714285714,-100,0,0,0,0,0,0,0,0,157.1428571,183.3333333,-20.71428571,-100,3.428571429,3.095238095,0.057142857,-0.142857143,0,0,0,0,0,0,0,0,3.666666667,3.666666667,-0.276190476,-1.6,54,1,darband,دربند,1
54,5,10,6.5,5.833333333,0,1.083994709,6,5.666666667,0,1.057142857,2.571428571,2.571428571,0.142857143,1,3.8,3.4,0.142857143,1.106666667,2.666666667,2.333333333,0.142857143,1.083333333,8.333333333,2.941176471,2.54004004,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666667,0.026851852,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,darband,دربند,1
926,1,11,1,1,0.333333333,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,926,1,sepehr,سپهر,2
926,3,11,1,1,0,1,1,1,0.333333333,1,,,,,,,,,,,,,0,0,0,-100,0,0,0,0,,,,,0,0,0,0,0,0,0,-0.333333333,0,0,0,0,,,,,0,0,0,0,926,1,sepehr,سپهر,2
926,4,11,1.333333333,1.333333333,0.333333333,1,1,1,0,1,1,1,0.333333333,1,,,0.333333333,,,,0.333333333,,33.33333333,33.33333333,0,,0,0,0,0,0,0,0,0,,,,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,,,,0,926,1,sepehr,سپهر,2
926,5,11,1,1,0,1,1.333333333,1.333333333,0.333333333,1,1,1,0,1,1,1,0,1,,,0,,-25,-25,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333,-0.333333333,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,926,1,sepehr,سپهر,2
965,0,30,1,1,0.666666667,1,3.5,3.5,0,1,,,,,,,,,,,,,-71.42857143,-71.42857143,0,,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-2.5,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,965,1,parastar,پرستار,14
965,1,30,1.333333333,1.333333333,0.333333333,1,1,1,0.666666667,1,3.5,3.5,0,1,,,0,,,,0,,33.33333333,33.33333333,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,965,1,parastar,پرستار,14
965,2,30,2.333333333,2.166666667,0.166666667,1.041666667,1.333333333,1.333333333,0.333333333,1,1,1,0.666666667,1,3.5,3.5,0.666666667,1,,,0.666666667,,75,62.5,4.166666667,-50,133.3333333,116.6666667,4.166666667,-75,0,0,0,0,0,0,0,0,1,0.833333333,0.041666667,-0.166666667,1.333333333,1.166666667,0.041666667,-0.5,0,0,0,0,0,0,0,0,965,1,parastar,پرستار,14
965,3,30,2,2,0,1,2.333333333,2.166666667,0.166666667,1.041666667,1.333333333,1.333333333,0.333333333,1,1,1,0.333333333,1,3.5,3.5,0.333333333,1,-14.28571429,-7.692307692,-4,-100,0,0,0,0,100,100,0,-100,0,0,0,0,-0.333333333,-0.166666667,-0.041666667,-0.166666667,0,0,0,0,1,1,0,-0.333333333,0,0,0,0,965,1,parastar,پرستار,14
965,4,30,1.8,1.8,0,1,2,2,0,1,2.333333333,2.166666667,0.166666667,1.041666667,1.333333333,1.333333333,0.166666667,1,1,1,0.166666667,1,-10,-10,0,,0,0,0,0,0,0,0,0,80,80,0,-100,-0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,-0.166666667,965,1,parastar,پرستار,14
965,5,30,1.5,1.5,0,1,1.8,1.8,0,1,2,2,0,1,2.333333333,2.166666667,0,1.041666667,1.333333333,1.333333333,0,1,-16.66666667,-16.66666667,0,,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,1,parastar,پرستار,14
277,0,31,2,2,1,1,4,4,0,1,,,,,,,,,,,,,-50,-50,0,,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,277,1,amiriyeh,امیریه,11
277,1,31,3.714285714,3.571428571,1.571428571,1.028571429,2,2,1,1,4,4,0,1,,,0,,,,0,,85.71428571,78.57142857,2.857142857,57.14285714,0,0,0,0,0,0,0,0,0,0,0,0,1.714285714,1.571428571,0.028571429,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,277,1,amiriyeh,امیریه,11
277,2,31,3.428571429,3.285714286,1.857142857,1.028571429,3.714285714,3.571428571,1.571428571,1.028571429,2,2,1,1,4,4,1,1,,,1,,-7.692307692,-8,0,18.18181818,71.42857143,64.28571429,2.857142857,85.71428571,0,0,0,0,0,0,0,0,-0.285714286,-0.285714286,0,0.285714286,1.428571429,1.285714286,0.028571429,0.857142857,0,0,0,0,0,0,0,0,277,1,amiriyeh,امیریه,11
277,3,31,4.571428571,4.571428571,0.714285714,1,3.428571429,3.285714286,1.857142857,1.028571429,3.714285714,3.571428571,1.571428571,1.028571429,2,2,1.571428571,1,4,4,1.571428571,1,33.33333333,39.13043478,-2.777777778,-61.53846154,0,0,0,0,128.5714286,128.5714286,0,-54.54545455,0,0,0,0,1.142857143,1.285714286,-0.028571429,-1.142857143,0,0,0,0,2.571428571,2.571428571,0,-0.857142857,0,0,0,0,277,1,amiriyeh,امیریه,11
277,4,31,5.833333333,5.666666667,0.833333333,1.041666667,4.571428571,4.571428571,0.714285714,1,3.428571429,3.285714286,1.857142857,1.028571429,3.714285714,3.571428571,1.857142857,1.028571429,2,2,1.857142857,1,27.60416667,23.95833333,4.166666667,16.66666667,0,0,0,0,0,0,0,0,191.6666667,183.3333333,4.166666667,-55.12820513,1.261904762,1.095238095,0.041666667,0.119047619,0,0,0,0,0,0,0,0,3.833333333,3.666666667,0.041666667,-1.023809524,277,1,amiriyeh,امیریه,11
277,5,31,4.714285714,4.714285714,0.285714286,1,5.833333333,5.666666667,0.833333333,1.041666667,4.571428571,4.571428571,0.714285714,1,3.428571429,3.285714286,0.714285714,1.028571429,3.714285714,3.571428571,0.714285714,1.028571429,-19.18367347,-16.80672269,-4,-65.71428571,0,0,0,0,0,0,0,0,0,0,0,0,-1.119047619,-0.952380952,-0.041666667,-0.547619048,0,0,0,0,0,0,0,0,0,0,0,0,277,1,amiriyeh,امیریه,11
287,1,10,1,1,0,1,2,2,0,1,,,,,,,,,,,,,-50,-50,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,1,emam-hossein,امام حسین(ع),7
287,2,10,1.666666667,1.333333333,0,1.166666667,1,1,0,1,2,2,0,1,,,0,,,,0,,66.66666667,33.33333333,16.66666667,,-16.66666667,-33.33333333,16.66666667,,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0.166666667,0,-0.333333333,-0.666666667,0.166666667,0,0,0,0,0,0,0,0,0,287,1,emam-hossein,امام حسین(ع),7
287,3,10,1,1,0,1,1.666666667,1.333333333,0,1.166666667,1,1,0,1,2,2,0,1,,,0,,-40,-25,-14.28571429,,0,0,0,0,-50,-50,0,,0,0,0,0,-0.666666667,-0.333333333,-0.166666667,0,0,0,0,0,-1,-1,0,0,0,0,0,0,287,1,emam-hossein,امام حسین(ع),7
287,4,10,2,2,0,1,1,1,0,1,1.666666667,1.333333333,0,1.166666667,1,1,0,1,2,2,0,1,100,100,0,,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,1,emam-hossein,امام حسین(ع),7
287,5,10,1,1,0,1,2,2,0,1,1,1,0,1,1.666666667,1.333333333,0,1.166666667,1,1,0,1,-50,-50,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,1,emam-hossein,امام حسین(ع),7
656,0,10,1,1,1,1,1,1,0,1,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,656,1,shadman,شادمهر,2
656,1,10,1.8,1.8,1,1,1,1,1,1,1,1,0,1,,,0,,,,0,,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,1,shadman,شادمهر,2
